"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","IDX2015","A","2018",100.850271,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2019",102.056139,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2020",103.908849,"E"
"AUS","GDPHRWKD","TOT","IDX2015","A","2021",105.029059,"E"
"AUT","GDPHRWKD","TOT","IDX2015","A","2018",101.548745,
"AUT","GDPHRWKD","TOT","IDX2015","A","2019",101.549358,
"AUT","GDPHRWKD","TOT","IDX2015","A","2020",104.017529,
"AUT","GDPHRWKD","TOT","IDX2015","A","2021",103.518707,
"BEL","GDPHRWKD","TOT","IDX2015","A","2018",100.107505,
"BEL","GDPHRWKD","TOT","IDX2015","A","2019",100.914212,
"BEL","GDPHRWKD","TOT","IDX2015","A","2020",104.101807,
"BEL","GDPHRWKD","TOT","IDX2015","A","2021",102.796649,
"CAN","GDPHRWKD","TOT","IDX2015","A","2018",102.342562,
"CAN","GDPHRWKD","TOT","IDX2015","A","2019",103.224148,
"CAN","GDPHRWKD","TOT","IDX2015","A","2020",110.96693,
"CAN","GDPHRWKD","TOT","IDX2015","A","2021",105.120649,
"CZE","GDPHRWKD","TOT","IDX2015","A","2018",104.496517,
"CZE","GDPHRWKD","TOT","IDX2015","A","2019",107.318049,
"CZE","GDPHRWKD","TOT","IDX2015","A","2020",109.900343,
"CZE","GDPHRWKD","TOT","IDX2015","A","2021",110.403252,
"DNK","GDPHRWKD","TOT","IDX2015","A","2018",105.350786,
"DNK","GDPHRWKD","TOT","IDX2015","A","2019",106.133113,
"DNK","GDPHRWKD","TOT","IDX2015","A","2020",107.227289,
"DNK","GDPHRWKD","TOT","IDX2015","A","2021",108.295185,
"FIN","GDPHRWKD","TOT","IDX2015","A","2018",103.698089,
"FIN","GDPHRWKD","TOT","IDX2015","A","2019",103.612412,
"FIN","GDPHRWKD","TOT","IDX2015","A","2020",103.940966,
"FIN","GDPHRWKD","TOT","IDX2015","A","2021",104.298407,
"FRA","GDPHRWKD","TOT","IDX2015","A","2018",102.814627,
"FRA","GDPHRWKD","TOT","IDX2015","A","2019",103.215736,
"FRA","GDPHRWKD","TOT","IDX2015","A","2020",103.736551,
"FRA","GDPHRWKD","TOT","IDX2015","A","2021",102.187438,
"DEU","GDPHRWKD","TOT","IDX2015","A","2018",103.375684,
"DEU","GDPHRWKD","TOT","IDX2015","A","2019",104.162791,
"DEU","GDPHRWKD","TOT","IDX2015","A","2020",105.18509,
"DEU","GDPHRWKD","TOT","IDX2015","A","2021",106.100411,
"GRC","GDPHRWKD","TOT","IDX2015","A","2018",93.804184,
"GRC","GDPHRWKD","TOT","IDX2015","A","2019",95.695779,
"GRC","GDPHRWKD","TOT","IDX2015","A","2020",98.196198,
"GRC","GDPHRWKD","TOT","IDX2015","A","2021",95.833755,
"HUN","GDPHRWKD","TOT","IDX2015","A","2018",104.807845,
"HUN","GDPHRWKD","TOT","IDX2015","A","2019",109.175273,
"HUN","GDPHRWKD","TOT","IDX2015","A","2020",109.52259,
"HUN","GDPHRWKD","TOT","IDX2015","A","2021",113.992793,
"ISL","GDPHRWKD","TOT","IDX2015","A","2018",104.538868,
"ISL","GDPHRWKD","TOT","IDX2015","A","2019",108.350518,
"ISL","GDPHRWKD","TOT","IDX2015","A","2020",108.447164,
"ISL","GDPHRWKD","TOT","IDX2015","A","2021",110.665796,
"IRL","GDPHRWKD","TOT","IDX2015","A","2018",106.290046,
"IRL","GDPHRWKD","TOT","IDX2015","A","2019",108.83146,
"IRL","GDPHRWKD","TOT","IDX2015","A","2020",127.922796,
"IRL","GDPHRWKD","TOT","IDX2015","A","2021",136.359543,
"ITA","GDPHRWKD","TOT","IDX2015","A","2018",100.323292,
"ITA","GDPHRWKD","TOT","IDX2015","A","2019",100.82174,
"ITA","GDPHRWKD","TOT","IDX2015","A","2020",103.876571,
"ITA","GDPHRWKD","TOT","IDX2015","A","2021",102.57374,
"JPN","GDPHRWKD","TOT","IDX2015","A","2018",101.582134,
"JPN","GDPHRWKD","TOT","IDX2015","A","2019",102.659468,
"JPN","GDPHRWKD","TOT","IDX2015","A","2020",101.361752,
"JPN","GDPHRWKD","TOT","IDX2015","A","2021",102.430048,"E"
"KOR","GDPHRWKD","TOT","IDX2015","A","2018",111.478289,
"KOR","GDPHRWKD","TOT","IDX2015","A","2019",114.112628,
"KOR","GDPHRWKD","TOT","IDX2015","A","2020",117.754902,
"KOR","GDPHRWKD","TOT","IDX2015","A","2021",120.511819,
"LUX","GDPHRWKD","TOT","IDX2015","A","2018",98.797902,
"LUX","GDPHRWKD","TOT","IDX2015","A","2019",98.039568,
"LUX","GDPHRWKD","TOT","IDX2015","A","2020",101.325215,
"LUX","GDPHRWKD","TOT","IDX2015","A","2021",99.250677,
"MEX","GDPHRWKD","TOT","IDX2015","A","2018",101.781343,
"MEX","GDPHRWKD","TOT","IDX2015","A","2019",99.320868,
"MEX","GDPHRWKD","TOT","IDX2015","A","2020",98.86049,
"MEX","GDPHRWKD","TOT","IDX2015","A","2021",95.272732,
"NLD","GDPHRWKD","TOT","IDX2015","A","2018",100.064801,
"NLD","GDPHRWKD","TOT","IDX2015","A","2019",99.395132,
"NLD","GDPHRWKD","TOT","IDX2015","A","2020",98.314715,
"NLD","GDPHRWKD","TOT","IDX2015","A","2021",99.810204,
"NZL","GDPHRWKD","TOT","IDX2015","A","2018",101.205904,
"NZL","GDPHRWKD","TOT","IDX2015","A","2019",100.658257,
"NZL","GDPHRWKD","TOT","IDX2015","A","2020",102.090865,
"NZL","GDPHRWKD","TOT","IDX2015","A","2021",104.135974,"E"
"NOR","GDPHRWKD","TOT","IDX2015","A","2018",102.017169,
"NOR","GDPHRWKD","TOT","IDX2015","A","2019",101.245155,
"NOR","GDPHRWKD","TOT","IDX2015","A","2020",102.740881,
"NOR","GDPHRWKD","TOT","IDX2015","A","2021",104.238747,
"POL","GDPHRWKD","TOT","IDX2015","A","2018",114.261674,
"POL","GDPHRWKD","TOT","IDX2015","A","2019",119.703575,
"POL","GDPHRWKD","TOT","IDX2015","A","2020",118.207222,
"POL","GDPHRWKD","TOT","IDX2015","A","2021",119.029221,
"PRT","GDPHRWKD","TOT","IDX2015","A","2018",100.783377,
"PRT","GDPHRWKD","TOT","IDX2015","A","2019",102.31032,
"PRT","GDPHRWKD","TOT","IDX2015","A","2020",103.462833,
"PRT","GDPHRWKD","TOT","IDX2015","A","2021",104.480653,
"SVK","GDPHRWKD","TOT","IDX2015","A","2018",105.286173,
"SVK","GDPHRWKD","TOT","IDX2015","A","2019",107.576441,
"SVK","GDPHRWKD","TOT","IDX2015","A","2020",114.032204,
"SVK","GDPHRWKD","TOT","IDX2015","A","2021",117.322302,
"ESP","GDPHRWKD","TOT","IDX2015","A","2018",101.103306,
"ESP","GDPHRWKD","TOT","IDX2015","A","2019",101.664137,
"ESP","GDPHRWKD","TOT","IDX2015","A","2020",101.697456,
"ESP","GDPHRWKD","TOT","IDX2015","A","2021",100.116692,
"SWE","GDPHRWKD","TOT","IDX2015","A","2018",100.637005,
"SWE","GDPHRWKD","TOT","IDX2015","A","2019",102.934086,
"SWE","GDPHRWKD","TOT","IDX2015","A","2020",104.029507,
"SWE","GDPHRWKD","TOT","IDX2015","A","2021",106.651833,
"CHE","GDPHRWKD","TOT","IDX2015","A","2018",104.616177,
"CHE","GDPHRWKD","TOT","IDX2015","A","2019",105.19707,
"CHE","GDPHRWKD","TOT","IDX2015","A","2020",106.678136,
"CHE","GDPHRWKD","TOT","IDX2015","A","2021",108.469065,
"TUR","GDPHRWKD","TOT","IDX2015","A","2018",109.819438,
"TUR","GDPHRWKD","TOT","IDX2015","A","2019",114.002844,
"TUR","GDPHRWKD","TOT","IDX2015","A","2020",134.316255,
"TUR","GDPHRWKD","TOT","IDX2015","A","2021",126.215189,"E"
"GBR","GDPHRWKD","TOT","IDX2015","A","2018",101.908738,
"GBR","GDPHRWKD","TOT","IDX2015","A","2019",102.375673,
"GBR","GDPHRWKD","TOT","IDX2015","A","2020",103.558338,
"GBR","GDPHRWKD","TOT","IDX2015","A","2021",101.732968,
"USA","GDPHRWKD","TOT","IDX2015","A","2018",102.3422,
"USA","GDPHRWKD","TOT","IDX2015","A","2019",103.581713,
"USA","GDPHRWKD","TOT","IDX2015","A","2020",107.111176,
"USA","GDPHRWKD","TOT","IDX2015","A","2021",108.386615,
"BGR","GDPHRWKD","TOT","IDX2015","A","2018",106.387642,
"BGR","GDPHRWKD","TOT","IDX2015","A","2019",110.263892,
"BGR","GDPHRWKD","TOT","IDX2015","A","2020",110.644324,
"BGR","GDPHRWKD","TOT","IDX2015","A","2021",114.007795,
"CHL","GDPHRWKD","TOT","IDX2015","A","2018",103.238007,
"CHL","GDPHRWKD","TOT","IDX2015","A","2019",103.176421,
"CHL","GDPHRWKD","TOT","IDX2015","A","2020",116.642176,
"CHL","GDPHRWKD","TOT","IDX2015","A","2021",118.191223,
"CRI","GDPHRWKD","TOT","IDX2015","A","2018",108.821,
"CRI","GDPHRWKD","TOT","IDX2015","A","2019",111.826768,
"CRI","GDPHRWKD","TOT","IDX2015","A","2020",128.859654,
"CRI","GDPHRWKD","TOT","IDX2015","A","2021",121.89679,
"HRV","GDPHRWKD","TOT","IDX2015","A","2018",105.473111,
"HRV","GDPHRWKD","TOT","IDX2015","A","2019",104.361121,
"HRV","GDPHRWKD","TOT","IDX2015","A","2020",97.284249,
"HRV","GDPHRWKD","TOT","IDX2015","A","2021",105.901089,
"EST","GDPHRWKD","TOT","IDX2015","A","2018",112.536169,
"EST","GDPHRWKD","TOT","IDX2015","A","2019",116.155203,
"EST","GDPHRWKD","TOT","IDX2015","A","2020",122.871262,
"EST","GDPHRWKD","TOT","IDX2015","A","2021",122.787944,
"ISR","GDPHRWKD","TOT","IDX2015","A","2018",105.539789,
"ISR","GDPHRWKD","TOT","IDX2015","A","2019",108.967004,
"ISR","GDPHRWKD","TOT","IDX2015","A","2020",115.844024,
"ISR","GDPHRWKD","TOT","IDX2015","A","2021",117.46853,
"LVA","GDPHRWKD","TOT","IDX2015","A","2018",108.894782,
"LVA","GDPHRWKD","TOT","IDX2015","A","2019",113.869735,
"LVA","GDPHRWKD","TOT","IDX2015","A","2020",117.937302,
"LVA","GDPHRWKD","TOT","IDX2015","A","2021",124.063823,
"LTU","GDPHRWKD","TOT","IDX2015","A","2018",108.612217,
"LTU","GDPHRWKD","TOT","IDX2015","A","2019",112.893562,
"LTU","GDPHRWKD","TOT","IDX2015","A","2020",119.730528,
"LTU","GDPHRWKD","TOT","IDX2015","A","2021",123.47746,
"ROU","GDPHRWKD","TOT","IDX2015","A","2018",115.772584,
"ROU","GDPHRWKD","TOT","IDX2015","A","2019",119.394547,
"ROU","GDPHRWKD","TOT","IDX2015","A","2020",116.801689,
"ROU","GDPHRWKD","TOT","IDX2015","A","2021",133.400434,
"RUS","GDPHRWKD","TOT","IDX2015","A","2018",105.010968,
"RUS","GDPHRWKD","TOT","IDX2015","A","2019",108.312295,
"RUS","GDPHRWKD","TOT","IDX2015","A","2020",112.299021,
"SVN","GDPHRWKD","TOT","IDX2015","A","2018",109.957683,
"SVN","GDPHRWKD","TOT","IDX2015","A","2019",111.126412,
"SVN","GDPHRWKD","TOT","IDX2015","A","2020",111.902195,
"SVN","GDPHRWKD","TOT","IDX2015","A","2021",114.870443,
"ZAF","GDPHRWKD","TOT","IDX2015","A","2018",88.055105,"E"
"ZAF","GDPHRWKD","TOT","IDX2015","A","2019",87.804265,"E"
"ZAF","GDPHRWKD","TOT","IDX2015","A","2020",94.286931,"E"
"EU28","GDPHRWKD","TOT","IDX2015","A","2018",102.625273,
"EU28","GDPHRWKD","TOT","IDX2015","A","2019",103.374516,
"OECD","GDPHRWKD","TOT","IDX2015","A","2018",103.20171,
"OECD","GDPHRWKD","TOT","IDX2015","A","2019",104.364275,
"OECD","GDPHRWKD","TOT","IDX2015","A","2020",108.23588,
"OECD","GDPHRWKD","TOT","IDX2015","A","2021",107.33628,
"G-7","GDPHRWKD","TOT","IDX2015","A","2018",102.353911,
"G-7","GDPHRWKD","TOT","IDX2015","A","2019",103.463394,
"G-7","GDPHRWKD","TOT","IDX2015","A","2020",105.824208,
"G-7","GDPHRWKD","TOT","IDX2015","A","2021",106.239683,
"EA19","GDPHRWKD","TOT","IDX2015","A","2018",101.885145,
"EA19","GDPHRWKD","TOT","IDX2015","A","2019",102.565609,
"EA19","GDPHRWKD","TOT","IDX2015","A","2020",104.753651,
"EA19","GDPHRWKD","TOT","IDX2015","A","2021",104.553103,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2018",102.9426,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2019",104.006709,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2020",105.306113,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2021",105.599606,
"COL","GDPHRWKD","TOT","IDX2015","A","2018",104.503819,
"COL","GDPHRWKD","TOT","IDX2015","A","2019",107.793852,
"COL","GDPHRWKD","TOT","IDX2015","A","2020",129.049763,
"COL","GDPHRWKD","TOT","IDX2015","A","2021",114.78979,
